compound_name,synonyms,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id,
Rhodiola rosea,,Drosophila melanogaster,IF,30 mg/ml,-9.1,-12.2,Female,,24472572,
Rhodiola rosea,,Drosophila melanogaster,IF,10 mg/ml,14.3,6,Male,,24472572,
Rhodiola rosea,,Drosophila melanogaster,IF,2.5 mg/ml,6.8,-2.9,Female,NS,24472572,
Rhodiola rosea,,Drosophila melanogaster,IF,5 mg/ml,16.7,6.6,Male,,24472572,
Sesamin,,Caenorhabditis elegans,N2,3.1 µg,10.5,,,,24549958,
Sesamin,,Caenorhabditis elegans,N2,25 µg,0.8,,,NS,24549958,
Cranberry extract,,Caenorhabditis elegans,N2,2 mg/ml,12.8,,,,24566444,
Sesamin,,Caenorhabditis elegans,N2,6.3 µg,14.1,,,,24549958,
Cranberry extract,,Caenorhabditis elegans,N2,2 mg/ml,20,,,,24566444,
SRT1720,,Mus musculus,C57BL/6J,100 mg/kg body weight,8.8,0,,,24582957,
N-acetylglucosamine,GlcNAc or NAG,Caenorhabditis elegans,N2,10 mM,50,,,,24630720,
Sesamin,,Caenorhabditis elegans,N2,12.5 µg,10.9,,,,24549958,
Cranberry extract,,Caenorhabditis elegans,N2,2 mg/ml,14.4,,,,24566444,
Caffeine,,Caenorhabditis elegans,N2,100 mM,-89.5,,,,24764514,
D-glucosamine,,Caenorhabditis elegans,N2,10 mM,11,8,,,24714520,
Caffeine,,Caenorhabditis elegans,N2,75 mM,-82.8,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,50 mM,-40.9,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,30 mM,-24.4,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,5 mM,-13.6,,,,24764514,
D-glucosamine,,Mus musculus,C57BL/6NRj,10 g/kg,5.6,5.5,,,24714520,
Caffeine,,Caenorhabditis elegans,N2,7.5 mM,-11.6,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,0.5 mM,7.7,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,7.5 mM,8.7,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,10 mM,16.9,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,2.5 mM,17.2,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,7.5 mM,19.6,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,20 mM,21.6,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,10 mM,36.7,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,5 mM,28.5,,,,24764514,
Caffeine,,Caenorhabditis elegans,N2,5 mM,10.8,,,,24764514,
Alpha-ketoglutarate,,Caenorhabditis elegans,N2,8 mM,29.4,,,,24828042,
Beta-caryophyllene,,Caenorhabditis elegans,N2,25 uM,11.2,,,,24835194,
Glycerol,,Brachionus manjavacas,,274 mM,51,,,,24835191,
Beta-caryophyllene,,Caenorhabditis elegans,N2,50 uM,22.2,,,,24835194,
Beta-caryophyllene,,Caenorhabditis elegans,N2,100 uM,14.9,,,,24835194,
Metformin,,Caenorhabditis elegans,N2,100 mM,6.3,,,NS,24889636,
Metformin,,Caenorhabditis elegans,N2,12.5 mM,13,,,,24889636,
Metformin,,Caenorhabditis elegans,N2,6.25 mM,17,,,,24889636,
Metformin,,Caenorhabditis elegans,N2,25 mM,29.7,,,,24889636,
Metformin,,Caenorhabditis elegans,N2,50 mM,9.4,,,NS,24889636,
Metformin,,Caenorhabditis elegans,N2,25 mM,30.6,,,,24889636,
CU701,Citrus pectine CU703,Drosophila melanogaster,Canton S,0.30%,5.4,,Female,,24305778,
Metformin,,Caenorhabditis elegans,N2,25 mM,47.4,,,,24889636,
Metformin,,Caenorhabditis elegans,N2,25 mM,44,,,,24889636,
Metformin,,Caenorhabditis elegans,N2,25 mM,-4.7,,,NS,24889636,
Huanshao dan,HSh,Caenorhabditis elegans,N2,6.8 g/L,38.3,,,,24952637,
Erchen wan,EC,Caenorhabditis elegans,N2,1.5 g/L,21.8,,,,24952637,
Metformin,,Caenorhabditis elegans,N2,25 mM,57.3,,,,24889636,
Liuwei dihuang wan,LW,Caenorhabditis elegans,N2,4.2 g/L,12.6,,,,24952637,
Shengmai yin,SM,Caenorhabditis elegans,N2,48.0 g/L,47.3,,,,24952637,
Caffeicæacidæphenethylester,CAPE,Caenorhabditis elegans,,,9,17,,,24964141,
Amla juice,Emblicaæofficinalis,Drosophila melanogaster,,20 ml,5.9,,,,24967413,
Amla juice,Emblicaæofficinalis,Drosophila melanogaster,,30 ml,5.9,,,,24967413,
Turmeric powder,Curcuma longa,Drosophila melanogaster,,5 g/L,17.6,,,,24967413,
Shiquan dabu wan,SQ,Caenorhabditis elegans,N2,6.2 g/L,14.5,,,,24952637,
Turmeric powder,Curcuma longa,Drosophila melanogaster,,7 g/L,17.6,,,,24967413,
Turmeric powder,Curcuma longa,Drosophila melanogaster,,2.5 g/L,2.9,,,,24967413,
Green tea polyphenols,,Drosophila melanogaster,w1118,10 mg/ml,19,,Male,,25058464,
D-beta-hydroxybutyrate ,D-_HB,Caenorhabditis elegans,N2,20 mM,26,,,,25127866,
Curcumin,,Drosophila melanogaster,Canton S,50 µM,-1,,Male,,25173182,
Curcumin,,Drosophila melanogaster,Canton S,50 µM,3,,Female,,25173182,
Curcumin,,Drosophila melanogaster,Canton S,25 µM,4,,Male,,25173182,
Curcumin,,Drosophila melanogaster,Canton S,5 µM,2,,Male,,25173182,
Curcumin,,Drosophila melanogaster,Canton S,25 µM,9,,Female,,25173182,
Curcumin,,Drosophila melanogaster,Canton S,10 µM,19,,Male,,25173182,
Curcumin,,Drosophila melanogaster,Canton S,10 µM,34,,Female,,25173182,
Astragalus polysaccharide,,Caenorhabditis elegans,N2,50 µg/ml,7,,,,25186652,
Astragalus polysaccharide,,Caenorhabditis elegans,N2,400 µg/ml,19.6,,,,25186652,
Astragalus polysaccharide,,Caenorhabditis elegans,N2,100 µg/ml,22.8,,,,25186652,
Astragalus polysaccharide,,Caenorhabditis elegans,N2,200 µg/ml,20.7,,,,25186652,
Astragalus polysaccharide,,Caenorhabditis elegans,N2,600 µg/ml,30.8,,,,25186652,
"Bis(1-hydroxy-2,2,6,6-tetramethyl-4-piperidinyl)-decandioate",IAC,Aeolosoma viride,,2.5 uM,98.6,,,,25190068,
Curcumin,,Drosophila melanogaster,Canton S,5 µM,6,,Female,,25173182,
"Bis(1-hydroxy-2,2,6,6-tetramethyl-4-piperidinyl)-decandioate",IAC,Aeolosoma viride,,1.25 uM,157.3,,,,25190068,
Astragalus polysaccharide,,Caenorhabditis elegans,N2,200 µg/ml,24.7,,,,25186652,
EUK-134,SOD mimetic,Aeolosoma viride,,3.1 µM,48.8,,,,25190068,
Mulberry leaf polyphenols,,Caenorhabditis elegans,N2,25 mg/mL,22.5,,,,25323576,
Acanthopanax sessiliflorus stem extract,,Caenorhabditis elegans,N2,500 mg/L,18,20,,,25324932,
EUK-134,SOD mimetic,Aeolosoma viride,,12.5 µM,20.2,,,,25190068,
EUK-134,SOD mimetic,Aeolosoma viride,,1.6 µM,26.4,,,,25190068,
Nordihydroguaiaretic acid,Mesonordihydroguaiaretic acid,Mus musculus,B6C3F1æ,3.5 g/kg diet,12,,Male,,25380600,
Nordihydroguaiaretic acid,Mesonordihydroguaiaretic acid,Mus musculus,B6C3F1æ,1.5 g/kg diet,,,Male,NS,25380600,
Nordihydroguaiaretic acid,Mesonordihydroguaiaretic acid,Mus musculus,B6C3F1æ,2.5 g/kg diet,,,Male,NS,25380600,
Nordihydroguaiaretic acid,Mesonordihydroguaiaretic acid,Drosophila melanogaster,Oregon-R-C,3 mg/ml,23,,,,25380600,
Nordihydroguaiaretic acid,Mesonordihydroguaiaretic acid,Mus musculus,B6C3F1æ,4.5 g/kg diet,,,Male,NS,25380600,
Nordihydroguaiaretic acid,Mesonordihydroguaiaretic acid,Drosophila melanogaster,Oregon-R-C,1 mg/ml,,,,NS,25380600,
Royalactin,,Caenorhabditis elegans,N2,0.04 ug/ml,26.8,,,,25456847,
Royalactin,,Caenorhabditis elegans,N2,0.4 ug/ml,29.1,,,,25456847,
Edetate Calcium Disodium,CaEDTA,Caenorhabditis elegans,N2,,21.4,,,,25554795,
Cinnamon Extract,,Drosophila melanogaster,w1118,75 mg/ml,37,,Female,,25456850,
Dibromoacetic acid,,Caenorhabditis elegans,N2,100 µm,14.6,,,,25556763,
N-nitrosodimethylamine,,Caenorhabditis elegans,N2,50 µM,5.5,,,,25556763,
Pomegrenate juice,,Drosophila melanogaster,Canton S,0.1,8,,Female,,25566518,
Royalactin,,Caenorhabditis elegans,N2,1.6 ug/ml,33.9,,,,25456847,
Pomegrenate juice,,Drosophila melanogaster,Canton S,0.1,18,,Male,,25566518,
Cinnamon Extract,,Drosophila melanogaster,w1118,25 mg/ml,17,,Male,,25456850,
Resveratrol,,Nothobranchius guentheri,TZ 97-2,200 µg/g,14,,Female,,25569124,
Ivabradine,,Mus musculus,C57BL/6J,50 mg/kg/day,6.2,,Male,,25589054,
Resveratrol,,Nothobranchius guentheri,TZ 97-2,200 µg/g,19,,Male,,25569124,
Genistein,,Caenorhabditis elegans,N2,50 µM,10,,,,25593647,
Genistein,,Caenorhabditis elegans,N2,100 µM,27.9,,,,25593647,
Specioside,,Caenorhabditis elegans,N2,50 uM,11.8,,,,25619942,
Specioside,,Caenorhabditis elegans,N2,25 uM,15.5,,,,25619942,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,15.5,10.4,Female,,25628774,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,1,5.1,Female,,25628774,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,5.7,3.1,Male,,25628774,
Specioside,,Caenorhabditis elegans,N2,5 uM,8.9,,,,25619942,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,5.3,4.7,Female,,25628774,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,16.8,14,Male,,25628774,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,3.2,2.9,Male,,25628774,
Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,13.9,8.9,Male,,25628774,
Agmatine,,Caenorhabditis elegans,N2,100 µM,1,,,NS,25643626,
Agmatine,,Caenorhabditis elegans,N2,1 mM,16,,,,25643626,
Agmatine,,Caenorhabditis elegans,N2,10 mM,-20,,,,25643626,
Alanine,,Caenorhabditis elegans,N2,1 mM,8,,,,25643626,
Alanine,,Caenorhabditis elegans,N2,5 mM,4,,,NS,25643626,
Alanine,,Caenorhabditis elegans,N2,10 mM,11,,,,25643626,
Alpha-ketoglutarate,,Caenorhabditis elegans,N2,100 µM,10,,,,25643626,
Alpha-ketoglutarate,,Caenorhabditis elegans,N2,10 mM,7,,,NS,25643626,
Alpha-ketoglutarate,,Caenorhabditis elegans,N2,5 mM,11,,,,25643626,
Arginine,,Caenorhabditis elegans,N2,1 mM,8,,,,25643626,
Alpha-ketoglutarate,,Caenorhabditis elegans,N2,1mM,15,,,,25643626,
Arginine,,Caenorhabditis elegans,N2,10 mM,15,,,,25643626,
Asparagine,,Caenorhabditis elegans,N2,1 mM,1,,,NS,25643626,
Asparagine,,Caenorhabditis elegans,N2,10 mM,-25,,,,25643626,
Beta-alanine,,Caenorhabditis elegans,N2,1 mM,13,,,,25643626,
Asparagine,,Caenorhabditis elegans,N2,5 mM,5,,,,25643626,
Beta-alanine,,Caenorhabditis elegans,N2,5 mM,5,,,NS,25643626,
Caprylate,,Caenorhabditis elegans,N2,100 µM,1,,,NS,25643626,
Betaine,Trimethylglycine,Caenorhabditis elegans,N2,1 mM,9,,,,25643626,
Caprylate,,Caenorhabditis elegans,N2,1 mM,7,,,,25643626,
Caprylate,,Caenorhabditis elegans,N2,10 mM,-18,,,,25643626,
Carnosine,Beta-alanyl-L-histidine,Caenorhabditis elegans,N2,10 µM,1,,,NS,25643626,
Arginine,,Caenorhabditis elegans,N2,5 mM,11,,,,25643626,
Caprylate,,Caenorhabditis elegans,N2,5 mM,-5,,,,25643626,
Citrate,Sodium citrate; Citric acid,Caenorhabditis elegans,N2,10 mM,-2,,,NS,25643626,
Carnosine,Beta-alanyl-L-histidine,Caenorhabditis elegans,N2,100 µM,4,,,,25643626,
Creatine,,Caenorhabditis elegans,N2,1 mM,-4,,,,25643626,
Creatine,,Caenorhabditis elegans,N2,5 mM,-20,,,,25643626,
Creatine,,Caenorhabditis elegans,N2,10 mM,-18,,,,25643626,
Cysteine,,Caenorhabditis elegans,N2,1 mM,9,,,,25643626,
Cysteine,,Caenorhabditis elegans,N2,5 mM,16,,,,25643626,
Carnosine,Beta-alanyl-L-histidine,Caenorhabditis elegans,N2,1 mM,11,,,,25643626,
Cysteine,,Caenorhabditis elegans,N2,10 mM,2,,,NS,25643626,
D-alanine,,Caenorhabditis elegans,N2,10 mM,16,,,,25643626,
D-alanine,,Caenorhabditis elegans,N2,1 mM,14,,,,25643626,
D-alanine,,Caenorhabditis elegans,N2,5 mM,16,,,,25643626,
D-aspartate,,Caenorhabditis elegans,N2,1 mM,7,,,NS,25643626,
D-aspartate,,Caenorhabditis elegans,N2,10 mM,8,,,,25643626,
D-aspartate,,Caenorhabditis elegans,N2,5 mM,18,,,,25643626,
D-glutamate,,Caenorhabditis elegans,N2,10 mM,-3,,,NS,25643626,
D-glutamate,,Caenorhabditis elegans,N2,1 mM,114,,,,25643626,
D-glutamate,,Caenorhabditis elegans,N2,5 mM,18,,,,25643626,
DL-isocitrate,,Caenorhabditis elegans,N2,10 mM,-28,,,,25643626,
DL-isocitrate,,Caenorhabditis elegans,N2,1 mM,3,,,NS,25643626,
DL-isocitrate,,Caenorhabditis elegans,N2,5 mM,13,,,,25643626,
DL-lactate,,Caenorhabditis elegans,N2,5 mM,6,,,,25643626,
Galactose,D-galactose,Caenorhabditis elegans,N2,1 mM,1,,,NS,25643626,
DL-lactate,,Caenorhabditis elegans,N2,10 mM,2,,,NS,25643626,
DL-lactate,,Caenorhabditis elegans,N2,1 mM,3,,,NS,25643626,
Galactose,D-galactose,Caenorhabditis elegans,N2,10 mM,6,,,,25643626,
Gluconate,,Caenorhabditis elegans,N2,5 mM,17,,,,25643626,
Gluconate,,Caenorhabditis elegans,N2,10 mM,16,,,,25643626,
Gluconate,,Caenorhabditis elegans,N2,1 mM,8,,,,25643626,
Glutamate,,Caenorhabditis elegans,N2,1 mM,14,,,,25643626,
Glutamate,,Caenorhabditis elegans,N2,10 mM,-8,,,,25643626,
Glutamine,,Caenorhabditis elegans,N2,1 mM,15,,,,25643626,
Glutamate,,Caenorhabditis elegans,N2,5 mM,11,,,,25643626,
Glutamine,,Caenorhabditis elegans,N2,10 mM,-6,,,,25643626,
Glycerol,,Caenorhabditis elegans,N2,10 mM,21,,,,25643626,
Glutamine,,Caenorhabditis elegans,N2,5 mM,16,,,,25643626,
Glycine,,Caenorhabditis elegans,N2,5 mM,3,,,NS,25643626,
Glycine,,Caenorhabditis elegans,N2,1 mM,10,,,,25643626,
Glycine,,Caenorhabditis elegans,N2,10 mM,-4,,,NS,25643626,
Histidine,L-histidine,Caenorhabditis elegans,N2,5 mM,10,,,,25643626,
Histidine,,Caenorhabditis elegans,N2,1 mM,4,,,NS,25643626,
Histidine,,Caenorhabditis elegans,N2,5 mM,9,,,,25643626,
Histidine,,Caenorhabditis elegans,N2,10 mM,12,,,,25643626,
Homocysteine,,Caenorhabditis elegans,N2,5 mM,7,,,,25643626,
Inositol,,Caenorhabditis elegans,N2,1 mM,3,,,,25643626,
Inositol,,Caenorhabditis elegans,N2,10 mM,17,,,,25643626,
Isoleucine,,Caenorhabditis elegans,N2,1 mM,3,,,NS,25643626,
Isoleucine,,Caenorhabditis elegans,N2,5 mM,3,,,NS,25643626,
Leucine,,Caenorhabditis elegans,N2,1 mM,16,,,,25643626,
Isoleucine,,Caenorhabditis elegans,N2,10 mM,3,,,,25643626,
Leucine,,Caenorhabditis elegans,N2,5 mM,6,,,,25643626,
Leucine,,Caenorhabditis elegans,N2,10 mM,7,,,,25643626,
L-histidine methyl ester,,Caenorhabditis elegans,N2,100 µM,8,,,,25643626,
L-histidine methyl ester,,Caenorhabditis elegans,N2,1 mM,9,,,,25643626,
Homocysteine,,Caenorhabditis elegans,N2,1 mM,13,,,,25643626,
L-histidine methyl ester,,Caenorhabditis elegans,N2,10 mM,4,,,NS,25643626,
L-theanine,Theanine,Caenorhabditis elegans,N2,100 µM,14,,,,25643626,
L-theanine,Theanine,Caenorhabditis elegans,N2,1 mM,8,,,,25643626,
L-theanine,Theanine,Caenorhabditis elegans,N2,5 mM,10,,,,25643626,
L-theanine,Theanine,Caenorhabditis elegans,N2,10 mM,-15,,,,25643626,
Lysine,,Caenorhabditis elegans,N2,5 mM,8,,,,25643626,
Lysine,,Caenorhabditis elegans,N2,10 mM,6,,,,25643626,
Lysine,,Caenorhabditis elegans,N2,1 mM,7,,,,25643626,
Methionine,,Caenorhabditis elegans,N2,5 mM,8,,,,25643626,
Methionine,,Caenorhabditis elegans,N2,1 mM,4,,,NS,25643626,
N-acetyl-l-histidine,,Caenorhabditis elegans,N2,100 µM,3,,,NS,25643626,
N-acetyl-l-histidine,,Caenorhabditis elegans,N2,10 mM,10,,,NS,25643626,
Ornithine,,Caenorhabditis elegans,N2,100 µM,3,,,NS,25643626,
N-acetyl-l-histidine,,Caenorhabditis elegans,N2,1 mM,12,,,,25643626,
Ornithine,,Caenorhabditis elegans,N2,1 mM,8,,,,25643626,
Ornithine,,Caenorhabditis elegans,N2,10 mM,-10,,,,25643626,
Methionine,,Caenorhabditis elegans,N2,10 mM,14,,,,25643626,
Phosphoenolpyruvate,,Caenorhabditis elegans,N2,1 mM,12,,,,25643626,
Phosphoenolpyruvate,,Caenorhabditis elegans,N2,10 mM,8,,,,25643626,
Picolinic acid,,Caenorhabditis elegans,N2,1 mM,7,,,,25643626,
Phosphoenolpyruvate,,Caenorhabditis elegans,N2,5 mM,12,,,,25643626,
Proline,L-proline,Caenorhabditis elegans,N2,1 mM,17,,,,25643626,
Proline,L-proline,Caenorhabditis elegans,N2,5 mM,8,,,,25643626,
Proline,L-proline,Caenorhabditis elegans,N2,5 mM,19,,,,25643626,
Putrescine,,Caenorhabditis elegans,N2,1 mM,10,,,,25643626,
Putrescine,,Caenorhabditis elegans,N2,10 mM,-13,,,,25643626,
Ribose,,Caenorhabditis elegans,N2,1 mM,9,,,,25643626,
Putrescine,,Caenorhabditis elegans,N2,100 µM,1,,,NS,25643626,
Ribose,,Caenorhabditis elegans,N2,5 mM,9,,,,25643626,
Proline,L-proline,Caenorhabditis elegans,N2,10 mM,18,,,,25643626,
Ribose,,Caenorhabditis elegans,N2,10 mM,1,,,NS,25643626,
Serine,L-serine,Caenorhabditis elegans,N2,10 mM,9,,,,25643626,
Serine,,Caenorhabditis elegans,N2,1 mM,8,,,,25643626,
Serine,,Caenorhabditis elegans,N2,5 mM,18,,,,25643626,
Succinate,,Caenorhabditis elegans,N2,10 mM,4,,,NS,25643626,
Succinate,,Caenorhabditis elegans,N2,5 mM,10,,,,25643626,
Serine,,Caenorhabditis elegans,N2,10 mM,22,,,,25643626,
Succinate,,Caenorhabditis elegans,N2,1 mM,11,,,,25643626,
Taurine,,Caenorhabditis elegans,N2,1 mM,11,,,,25643626,
Taurine,,Caenorhabditis elegans,N2,5 mM,6,,,,25643626,
Taurine,,Caenorhabditis elegans,N2,10 mM,-4,,,,25643626,
Threonine,,Caenorhabditis elegans,N2,5 mM,3,,,NS,25643626,
Tryptophan,,Caenorhabditis elegans,N2,1 mM,14,,,,25643626,
Threonine,,Caenorhabditis elegans,N2,10 mM,8,,,,25643626,
Threonine,,Caenorhabditis elegans,N2,1 mM,0,,,,25643626,
Tryptophan,,Caenorhabditis elegans,N2,5 mM,6,,,,25643626,
Tryptophan,,Caenorhabditis elegans,N2,1 mM,9,,,,25643626,
Tryptophan,,Caenorhabditis elegans,N2,10 mM,1,,,NS,25643626,
Tyrosine,,Caenorhabditis elegans,N2,10 mM,2,,,NS,25643626,
Tyrosine,,Caenorhabditis elegans,N2,1 mM,10,,,,25643626,
Tyrosine,,Caenorhabditis elegans,N2,5 mM,5,,,,25643626,
Valine,,Caenorhabditis elegans,N2,1 mM,13,,,NS,25643626,
Valine,,Caenorhabditis elegans,N2,5 mM,8,,,,25643626,
Valine,,Caenorhabditis elegans,N2,10 mM,-1,,,,25643626,
Xylose,,Caenorhabditis elegans,N2,10 mM,6,,,,25643626,
Rifampicin,,Caenorhabditis elegans,N2,5 µM,42.6,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,1 µM,34.8,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,50 µM,37.9,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,200 µM,43.4,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,100 µM,49.2,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,10 µM,45.3,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,20 µM,50.8,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,50 µM,45.4,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,50 µM,55.8,,,,25720500,
Rifampicin,,Caenorhabditis elegans,N2,30 µM,56.1,,,,25720500,
Rifamycin SV,,Caenorhabditis elegans,N2,50 µM,20.9,,,,25720500,
10-hydroxy-2-decenoic Acid,,Caenorhabditis elegans,N2,25 µM,10,14,,,25789174,
Aspirin,,Acheta domesticus,,2.263x10^4 g aspirin/g food,49,,Female,,25833406,
Aspirin,,Acheta domesticus,,2.263x10^4 g aspirin/g food,77,,Male,,25833406,
Aspirin,,Acheta domesticus,,5.65x10^5 g aspirin/g food,67,,Male,,25833406,
Aspirin,,Acheta domesticus,,5.65x10^5 g aspirin/g food,52,,Female,,25833406,
Aspirin,,Acheta domesticus,,5.65x10^5 g aspirin/g food,134,,,,25833406,
Metformin,,Acheta domesticus,,1.78x10^3 g metformin/g diet,39,,Male,,25833406,
Metformin,,Acheta domesticus,,1.78x10^3 g metformin/g diet,79,,,,25833406,
Curcumin,,Caenorhabditis elegans,N2,100 µM,22.5,,,,25959406,
Aspirin,,Acheta domesticus,,2.263x10^4 g aspirin/g food,111,,,,25833406,
Recombinant buckwheat trypsin inhibitor,,Caenorhabditis elegans,N2,5 uM,15.6,,,,25959406,
Garlic extract,Allium sativum,Caenorhabditis elegans,N2,50 ppm,21,,,,25940980,
Recombinant buckwheat trypsin inhibitor,,Caenorhabditis elegans,N2,2.5 uM,7.5,,,,25959406,
Soybean trypsin inhibitor,,Caenorhabditis elegans,N2,5 uM,8.7,,,,25959406,
Dehydroabietic acid ,,Caenorhabditis elegans,N2,50 µM,4.8,8.3,,NS,25976661,
Soybean trypsin inhibitor,,Caenorhabditis elegans,N2,10 uM,10.4,,,,25959406,
Recombinant buckwheat trypsin inhibitor,,Caenorhabditis elegans,N2,10 uM,23.7,,,,25959406,
Dehydroabietic acid ,,Caenorhabditis elegans,N2,1 µM,10.3,16.7,,,25976661,
Dehydroabietic acid ,,Caenorhabditis elegans,N2,10 µM,11.8,18.1,,,25976661,
Dehydroabietic acid ,,Caenorhabditis elegans,N2,10 µM,12.8,20,,,25976661,
Dehydroabietic acid ,,Caenorhabditis elegans,N2,10 µM,15.5,16.7,,,25976661,
Resveratrol,,Caenorhabditis elegans,N2,50 µM,15.4,14.3,,,25976661,
Resveratrol,,Caenorhabditis elegans,N2,10 µM,12.8,9.1,,,25976661,
N-acetyl-L-cysteine,NAC,Caenorhabditis elegans,N2 CGCb strain,2 mM,5.2,9.5,,NS,26039957,
Resveratrol,,Caenorhabditis elegans,N2,1 µM,6.3,9.1,,NS,25976661,
N-acetyl-L-cysteine,NAC,Caenorhabditis elegans,N2 CGCb strain,1 mM,6.1,9.5,,NS,26039957,
N-acetyl-L-cysteine,NAC,Caenorhabditis elegans,N2 CGCb strain,2 mM,27.1,23.5,,,26039957,
N-acetyl-L-cysteine,NAC,Caenorhabditis elegans,N2 CGCb strain,1 mM,28.1,17.6,,,26039957,
N-acetyl-L-cysteine,NAC,Caenorhabditis elegans,N2 CGCb strain,5 mM,14.6,19,,NS,26039957,
N-acetyl-L-cysteine,NAC,Caenorhabditis elegans,N2 CGCb strain,5 mM,30.5,47.1,,,26039957,
Otophylloside B,,Caenorhabditis elegans,N2,50 µM,30,,,,26112394,
Trametinib,,Drosophila melanogaster,white Dahomey,15.6 µM,12,,,,26119340,
Beta-Guanidinopropionic acid,,Drosophila melanogaster,w1118,900 mM,9.1,,Male,,26120775,
Beta-Guanidinopropionic acid,,Drosophila melanogaster,w1118,900 mM,13.3,,Female,,26120775,
Curcumin,,Drosophila melanogaster,Ra,100 mM,25.5,0,Female,,26136617,
Curcumin,,Drosophila melanogaster,Ra,100 mM,-17,-3,Female,,26136617,
Curcumin,,Drosophila melanogaster,Ra,100 mM,-23.4,,Female,,26136617,
Sodium butyrate,,Drosophila melanogaster,Ra,10 mM,14.6,9.1,Female,,26136617,
Sodium butyrate,,Drosophila melanogaster,Ra,10 mM,8.3,12,Female,,26136617,
(Iso)lappaol A,,Caenorhabditis elegans,N2,100 uM,11.2,,,,26141518,
Curcumin,,Drosophila melanogaster,Ra,100 mM,46.8,38,Female,,26136617,
Arctigenin,,Caenorhabditis elegans,N2,10 uM,6.7,,,,26141518,
Arctigenin,,Caenorhabditis elegans,N2,100 uM,13.7,,,,26141518,
Arctiin,,Caenorhabditis elegans,N2,10 uM,8.9,,,,26141518,
Arctiin,,Caenorhabditis elegans,N2,100 uM,15.3,,,,26141518,
Lappaol C,,Caenorhabditis elegans,N2,10 uM,11.3,,,,26141518,
Matairesinol,,Caenorhabditis elegans,N2,10 uM,14,,,,26141518,
Matairesinol,,Caenorhabditis elegans,N2,100 uM,25,,,,26141518,
Lappaol F,,Caenorhabditis elegans,N2,100 uM,12.5,,,,26141518,
Icariin,,Mus musculus,C57BL/6J,0.02% in food,4,3,Male,,26145038,
Cranberry anthocyanin extract,,Drosophila melanogaster,Oregon-R-C,5 mg/ml,6.3,0,,,26159161,
Icariin,,Mus musculus,C57BL/6J,0.06% in food,8,6,Male,,26145038,
Cranberry anthocyanin extract,,Drosophila melanogaster,Oregon-R-C,20 mg/ml,10.4,5.1,,,26159161,
Verminoside,,Caenorhabditis elegans,N2,50 uM,8.5,,,,26189547,
Verminoside,,Caenorhabditis elegans,N2,25 uM,20.8,,,,26189547,
Verminoside,,Caenorhabditis elegans,N2,5 uM,9.8,,,,26189547,
(R)-2-hydroxyglutarate,,Caenorhabditis elegans,,8 mM,42.9,,,,26190651,
(S)-2-hydroxyglutarate,,Caenorhabditis elegans,,8 mM,31.8,,,,26190651,
Alpha-ketoglutarate,,Caenorhabditis elegans,,8 mM,47.9,,,,26190651,
Cordyceps sinensis oral liquid,,Drosophila melanogaster,Oregon-K,0.20 mg/ml ,32,15.4,Male,,26239097,
Mianserin,,Caenorhabditis elegans,N2,50 µM ,28.3,46,,,26255886,
Lappaol C,,Caenorhabditis elegans,N2,100 uM,11.5,,,,26141518,
Panax notoginseng main root polysaccharide,,Caenorhabditis elegans,N2,0.1 mg/ml,21,,,,26234580,
Fucoxanthin,,Caenorhabditis elegans,N2,5 µM,14,24,,,26292053,
Epigallocatechin-3-gallate,EGCG,Drosophila melanogaster,,10 mg/ml,15.7,,,,26375250,
Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside ,,Caenorhabditis elegans,N2,50 µM,17,,,,26433219,
